"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-01","0.00","26","18"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-02","0.00","31","20"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-03","0.01","30","25"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-04","0.00","25","-6"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-05","0.01","2","-8"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-06","0.00","0","-11"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-07","0.00","5","-11"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-08","0.00","7","-5"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-09","0.00","17","-5"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-10","0.16","25","15"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-11","0.22","25","2"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-12","0.04","8","2"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-13","0.00","12","-10"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-14","0.00","8","-9"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-15","0.00","22","2"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-16","0.00","32","3"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-17","0.27","30","11"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-18","0.00","34","25"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-19","0.00","40","26"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-20","0.00","37","29"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-21","0.00","35","33"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-22","0.02","36","33"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-23","0.00","38","32"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-24","0.00","33","29"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-25","0.06","31","28"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-26","0.01","28","26"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-27","0.00","27","18"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-28","0.00","29","17"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-29","0.00","25","22"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-30","0.02","26","14"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-01-31","0.11","39","18"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-02-01","0.01","36","14"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-02-02","0.00","16","6"
